paper_id,total_valid_chars,proof_chars,proof_density,display_chars,display_density
AOS_2024_0136,143947,53387,0.3709,33843,0.2351
AOS_2024_0137,314993,72179,0.2291,107016,0.3397
AOS_2024_0138,219329,115685,0.5274,78041,0.3558
AOS_2024_0140,183413,35221,0.192,34413,0.1876
AOS_2024_0141,250764,89043,0.3551,150362,0.5996
AOS_2024_0142,202235,38731,0.1915,78151,0.3864
AOS_2024_0144,319730,142158,0.4446,84019,0.2628
AOS_2024_0145,184246,77413,0.4202,52630,0.2857
AOS_2024_0146,88805,43868,0.494,21377,0.2407
AOS_2024_0147,277146,51490,0.1858,93099,0.3359
AOS_2024_0155,356169,122658,0.3444,151248,0.4247
AOS_2024_0156,195458,74570,0.3815,47108,0.241
AOS_2024_0159,259072,62844,0.2426,42742,0.165
AOS_2024_0164,271293,30011,0.1106,100660,0.371
AOS_2024_0165,186570,40809,0.2187,56779,0.3043
AOS_2024_0166,122915,4563,0.0371,36324,0.2955
AOS_2024_0172,204462,96520,0.4721,9945,0.0486
AOS_2024_0187,174592,74015,0.4239,31944,0.183
AOS_2024_0190,99347,36802,0.3704,52199,0.5254
AOS_2024_0191,324010,201040,0.6205,106320,0.3281
AOS_2024_0198,219362,70656,0.3221,66274,0.3021
AOS_2024_0199,228210,6040,0.0265,65200,0.2857
AOS_2024_0200,181259,69306,0.3824,14217,0.0784
AOS_2024_0204,140444,17618,0.1254,18830,0.1341
AOS_2024_0205,478647,103794,0.2168,176471,0.3687
AOS_2024_0206,108254,13120,0.1212,27333,0.2525
AOS_2024_0207,260554,114168,0.4382,62826,0.2411
AOS_2024_0211,99678,12610,0.1265,3056,0.0307
AOS_2024_0212,82793,3746,0.0452,7656,0.0925
AOS_2024_0214,333991,198051,0.593,154356,0.4622
AOS_2024_0219,325365,157806,0.485,412325,1.2673
AOS_2024_0224,203724,81353,0.3993,91107,0.4472
AOS_2024_0225,230022,62187,0.2704,65421,0.2844
AOS_2024_0226,206518,12047,0.0583,49772,0.241
AOS_2024_0232,250992,138940,0.5536,35429,0.1412
AOS_2024_0233,71837,7959,0.1108,6525,0.0908
AOS_2024_0235,124840,3823,0.0306,9237,0.074
AOS_2024_0254,220340,74707,0.3391,52191,0.2369
AOS_2024_0255,290611,110325,0.3796,232201,0.799
AOS_2024_0259,212662,51165,0.2406,39522,0.1858
AOS_2024_0267,346346,215340,0.6217,123529,0.3567
AOS_2024_0268,78724,4903,0.0623,9338,0.1186
AOS_2024_0271,1205448,753235,0.6249,522709,0.4336
AOS_2024_0272,114294,34574,0.3025,20435,0.1788
AOS_2024_0273,248567,121519,0.4889,53858,0.2167
AOS_2024_0274,234900,15158,0.0645,46289,0.1971
AOS_2025_0012,236350,74392,0.3148,47754,0.202
AOS_2025_0052,356187,72831,0.2045,120197,0.3375
AOS_2025_0059,85370,33790,0.3958,16090,0.1885
AOS_2025_0060,113951,36546,0.3207,25957,0.2278
AOS_2025_0061,211461,3534,0.0167,48573,0.2297
AOS_2025_0082,490704,214450,0.437,328505,0.6695
AOS_2025_0092,508912,0,0.0,136037,0.2673
AOS_2025_0105,286907,18865,0.0658,126940,0.4424
AOS_2025_0106,275802,77369,0.2805,60264,0.2185
AOS_2025_0107,208554,67043,0.3215,56070,0.2689
AOS_2025_0108,78787,0,0.0,11469,0.1456
AOS_2025_0109,148409,10853,0.0731,12596,0.0849
AOS_2025_0110,198510,78764,0.3968,41205,0.2076
AOS_2025_0111,89167,23556,0.2642,22525,0.2526
AOS_2025_0115,210475,106600,0.5065,57436,0.2729
AOS_2025_0116,411778,22565,0.0548,182267,0.4426
AOS_2025_0117,186635,59099,0.3167,49863,0.2672
AOS_2025_0119,185492,44551,0.2402,43935,0.2369
AOS_2025_0120,112208,6231,0.0555,27076,0.2413
AOS_2025_0121,160435,72635,0.4527,50713,0.3161
AOS_2025_0122,223847,11258,0.0503,77074,0.3443
AOS_2025_0123,417159,284049,0.6809,203423,0.4876
AOS_2025_0124,222914,88155,0.3955,91952,0.4125
AOS_2025_0148,78373,12559,0.1602,21204,0.2706
AOS_2025_0157,395595,59810,0.1512,90338,0.2284
AOS_2025_0158,477764,158443,0.3316,103397,0.2164
AOS_2025_0167,148178,3455,0.0233,26413,0.1783
AOS_2025_0169,167123,47034,0.2814,45093,0.2698
AOS_2025_0170,156018,77689,0.4979,62823,0.4027
AOS_2025_0171,211516,74830,0.3538,41651,0.1969
AOS_2025_0173,238877,134887,0.5647,77942,0.3263
AOS_2025_0193,189276,60890,0.3217,24760,0.1308
AOS_2025_0194,123847,8049,0.065,11959,0.0966
AOS_2025_0215,100742,4160,0.0413,9814,0.0974
AOS_2025_0230,230721,103887,0.4503,76173,0.3302
AOS_2025_0238,198856,4133,0.0208,38786,0.195
AOS_2025_0239,214816,100179,0.4663,58376,0.2717
AOS_2025_0241,222180,4332,0.0195,43083,0.1939
AOS_2025_0242,469917,43983,0.0936,127021,0.2703
AOS_2025_0243,121068,29227,0.2414,24022,0.1984
AOS_2025_0244,143669,48170,0.3353,31947,0.2224
AOS_2025_0245,212391,23148,0.109,68809,0.324
AOS_2025_0246,460046,87051,0.1892,153964,0.3347
AOS_2025_0257,157626,71913,0.4562,31149,0.1976
AOS_2025_0265,248490,127689,0.5139,69004,0.2777
AOS_2025_0276,96802,19278,0.1991,17825,0.1841
AOS_2025_0277,173563,50336,0.29,30765,0.1773
AOS_2025_0278,106499,32335,0.3036,14141,0.1328
AOS_2025_0284,171401,46263,0.2699,57624,0.3362
AOS_2025_0285,109526,12412,0.1133,2580,0.0236
AOS_2025_0287,339740,205256,0.6042,101253,0.298
AOS_2025_0288,136043,14344,0.1054,29153,0.2143
AOS_2025_0289,362749,206651,0.5697,135110,0.3725
AOS_2025_0290,271062,120884,0.446,113264,0.4179
AOS_2025_0291,98854,4932,0.0499,14702,0.1487
AOS_2025_0292,177646,60156,0.3386,43615,0.2455
AOS_2025_0293,130176,24386,0.1873,25727,0.1976
AOS_2025_0295,185185,81845,0.442,36493,0.1971
AOS_2025_0297,106216,21934,0.2065,19453,0.1831
AOS_2025_0298,120405,56947,0.473,16652,0.1383
AOS_2025_0299,172275,70844,0.4112,54196,0.3146
AOS_2025_0300,182362,81652,0.4477,47837,0.2623
AOS_2025_0303,260011,83557,0.3214,88208,0.3392
AOS_2025_0304,300774,24961,0.083,114798,0.3817
AOS_2025_0305,282624,19716,0.0698,60145,0.2128
AOS_2026_0217,321949,20991,0.0652,2734,0.0085
AOS_2026_0228,188200,117365,0.6236,87160,0.4631
AOS_2026_0234,307098,202411,0.6591,59576,0.194
AOS_2026_0252,181004,22803,0.126,34282,0.1894
AOS_2026_0258,299672,118265,0.3946,46335,0.1546
AOS_2026_0306,242809,48677,0.2005,42033,0.1731
AOS_2026_0309,107673,24358,0.2262,10288,0.0955
